Year,CO2,Global Temp in C,Land Ice (Antartica Land Mass),seaLevels,,Sea Levels GMSL (mm)
1880,,-0.2,,-154.0333333,,
1881,,-0.12,,-153.0583333,,
1882,,-0.1,,-169.8833333,,
1883,,-0.21,,-164.5916667,,
1884,,-0.28,,-143.75,,
1885,,-0.32,,-145.2416667,,
1886,,-0.31,,-147.575,,
1887,,-0.33,,-153.2,,
1888,,-0.2,,-151.075,,
1889,,-0.12,,-149.5,,
1890,,-0.37,,-147.525,,
1891,,-0.24,,-149.1833333,,
1892,,-0.27,,-146.0416667,,
1893,,-0.3,,-77.95,,
1894,,-0.31,,-141.3,,
1895,,-0.21,,-150.9833333,,
1896,,-0.15,,-139.1833333,,
1897,,-0.11,,-146.8166667,,
1898,,-0.28,,-141.6083333,,
1899,,-0.16,,-132.2166667,,
1900,,-0.09,,-124.7416667,,
1901,,-0.15,,-130.1,,
1902,,-0.27,,-130.5333333,,
1903,,-0.35,,-125.9166667,,
1904,,-0.44,,-117.85,,
1905,,-0.28,,-128.1583333,,
1906,,-0.23,,-133.7333333,,
1907,,-0.4,,-126.8833333,,
1908,,-0.43,,-128.275,,
1909,,-0.47,,-130.7916667,,
1910,,-0.42,,-126.3083333,,
1911,,-0.44,,-126.4166667,,
1912,,-0.35,,-118.0583333,,
1913,,-0.34,,-121.1666667,,
1914,,-0.16,,-119.3916667,,
1915,,-0.11,,-113.05,,
1916,,-0.34,,-105.1833333,,
1917,,-0.4,,-107.1166667,,
1918,,-0.26,,-111.6333333,,
1919,,-0.22,,-113.2166667,,
1920,,-0.27,,-111.5916667,,
1921,,-0.21,,-110.25,,
1922,,-0.28,,-108.2333333,,
1923,,-0.24,,-109.125,,
1924,,-0.28,,-107.9416667,,
1925,,-0.21,,-115.2333333,,
1926,,-0.1,,-113.1916667,,
1927,,-0.21,,-106.6916667,,
1928,,-0.21,,-107.7583333,,
1929,,-0.36,,-111.65,,
1930,,-0.15,,-110.2833333,,
1931,,-0.09,,-106.3166667,,
1932,,-0.17,,-106.7,,
1933,,-0.28,,-101.0333333,,
1934,,-0.14,,-96.69166667,,
1935,,-0.2,,-102.0416667,,
1936,,-0.15,,-96.46666667,,
1937,,-0.03,,-100.3916667,,
1938,,-0.03,,-94.69166667,,
1939,,-0.03,,-92.075,,
1940,,0.08,,-86.875,,
1941,,0.12,,-92.19166667,,
1942,,0.09,,-79.99166667,,
1943,,0.13,,-80.05,,
1944,,0.25,,-80,,
1945,,0.12,,-86.44166667,,
1946,,-0.04,,-83.63333333,,
1947,,-0.05,,-76.10833333,,
1948,,-0.09,,-72.94166667,,
1949,,-0.09,,-68.21666667,,
1950,,-0.18,,-69.5,,
1951,,-0.07,,-67.3,,
1952,,0.01,,-57.83333333,,
1953,,0.08,,-60.38333333,,
1954,,-0.13,,-55.96666667,,
1955,,-0.15,,-58.93333333,,
1956,,-0.2,,-57.975,,
1957,,0.04,,-63.11666667,,
1958,315.241,0.07,,-49.68333333,,
1959,315.9741667,0.03,,-48.30833333,,
1960,316.9075,-0.02,,-48.01666667,,
1961,317.6375,0.05,,-44.26666667,,
1962,318.4508333,0.03,,-38.09166667,,
1963,318.9941667,0.06,,-43.31666667,,
1964,319.6175,-0.2,,-44.925,,
1965,320.0441667,-0.1,,-52.825,,
1966,321.3833333,-0.05,,-41.54166667,,
1967,322.1575,-0.02,,-46.96666667,,
1968,323.045,-0.07,,-45.60833333,,
1969,324.6241667,0.07,,-44.80833333,,
1970,325.68,0.02,,-38,,
1971,326.32,-0.09,,-39.94166667,,
1972,327.4533333,0.01,,-34.725,,
1973,329.6766667,0.15,,-25.59166667,,
1974,330.185,-0.07,,-31.59166667,,
1975,331.1158333,-0.02,,-19.71666667,,
1976,332.04,-0.11,,-21.275,,
1977,333.8308333,0.18,,-22.35,,
1978,335.4025,0.07,,-23.96666667,,
1979,336.8416667,0.17,,-17.56666667,,
1980,338.7508333,0.27,,-22.53333333,,
1981,340.1058333,0.33,,-16.525,,
1982,341.4483333,0.13,,-4.075,,
1983,343.0541667,0.3,,-1.466666667,,
1984,344.65,0.15,,-2.391666667,,
1985,346.1166667,0.12,,-12.68333333,,
1986,347.4208333,0.19,,-12.05833333,,
1987,349.1941667,0.33,,-11.45833333,,
1988,351.5675,0.41,,-6.758333333,,
1989,353.1208333,0.28,,-2.316666667,,
1990,354.3941667,0.44,,0.008333333,,
1991,355.6075,0.43,,2.508333333,,
1992,356.4458333,0.23,,3.166666667,,
1993,357.1,0.24,,1.416666667,,
1994,358.8325,0.32,,6.575,,
1995,360.82,0.46,,9.525,,
1996,362.6066667,0.35,,13.66666667,,
1997,363.7291667,0.48,,20.55833333,,
1998,366.6991667,0.64,,10.66666667,,
1999,368.3775,0.42,,19.225,,
2000,369.5491667,0.42,,20.48333333,,
2001,371.1425,0.55,,25.98333333,,
2002,373.2791667,0.63,17.76,28.35833333,,
2003,375.8025,0.62,-128.4363636,37.60833333,,
2004,377.5225,0.55,-255.86,37.41818182,,
2005,379.7958333,0.69,-230.075,37.29166667,,
2006,381.8958333,0.63,-189.8708333,41.56666667,,
2007,383.7916667,0.66,-338.0216667,43.48333333,,
2008,385.6033333,0.54,-606.825,52.2,,
2009,387.43,0.64,-583.535,58.01666667,,
2010,389.8991667,0.71,-825.3625,65.75,,
2011,391.6516667,0.6,-957.2988889,67.3,,
2012,393.8533333,0.63,-993.0690909,76.08333333,,
2013,396.5208333,0.65,-1131.188889,67.73333333,,
2014,398.6475,0.74,-1404.617778,,,
2015,400.8333333,0.87,-1774.121111,,,
2016,404.2091667,0.99,-1667.23,,,
2017,407.42,,-1933.91,,,