Year,CO2
1958,315.241
1959,315.9741667
1960,316.9075
1961,317.6375
1962,318.4508333
1963,318.9941667
1964,319.6175
1965,320.0441667
1966,321.3833333
1967,322.1575
1968,323.045
1969,324.6241667
1970,325.68
1971,326.32
1972,327.4533333
1973,329.6766667
1974,330.185
1975,331.1158333
1976,332.04
1977,333.8308333
1978,335.4025
1979,336.8416667
1980,338.7508333
1981,340.1058333
1982,341.4483333
1983,343.0541667
1984,344.65
1985,346.1166667
1986,347.4208333
1987,349.1941667
1988,351.5675
1989,353.1208333
1990,354.3941667
1991,355.6075
1992,356.4458333
1993,357.1
1994,358.8325
1995,360.82
1996,362.6066667
1997,363.7291667
1998,366.6991667
1999,368.3775
2000,369.5491667
2001,371.1425
2002,373.2791667
2003,375.8025
2004,377.5225
2005,379.7958333
2006,381.8958333
2007,383.7916667
2008,385.6033333
2009,387.43
2010,389.8991667
2011,391.6516667
2012,393.8533333
2013,396.5208333
2014,398.6475
2015,400.8333333
2016,404.2091667
2017,407.42