Year,seaLevels
1880,-154.0333333
1881,-153.0583333
1882,-169.8833333
1883,-164.5916667
1884,-143.75
1885,-145.2416667
1886,-147.575
1887,-153.2
1888,-151.075
1889,-149.5
1890,-147.525
1891,-149.1833333
1892,-146.0416667
1893,-77.95
1894,-141.3
1895,-150.9833333
1896,-139.1833333
1897,-146.8166667
1898,-141.6083333
1899,-132.2166667
1900,-124.7416667
1901,-130.1
1902,-130.5333333
1903,-125.9166667
1904,-117.85
1905,-128.1583333
1906,-133.7333333
1907,-126.8833333
1908,-128.275
1909,-130.7916667
1910,-126.3083333
1911,-126.4166667
1912,-118.0583333
1913,-121.1666667
1914,-119.3916667
1915,-113.05
1916,-105.1833333
1917,-107.1166667
1918,-111.6333333
1919,-113.2166667
1920,-111.5916667
1921,-110.25
1922,-108.2333333
1923,-109.125
1924,-107.9416667
1925,-115.2333333
1926,-113.1916667
1927,-106.6916667
1928,-107.7583333
1929,-111.65
1930,-110.2833333
1931,-106.3166667
1932,-106.7
1933,-101.0333333
1934,-96.69166667
1935,-102.0416667
1936,-96.46666667
1937,-100.3916667
1938,-94.69166667
1939,-92.075
1940,-86.875
1941,-92.19166667
1942,-79.99166667
1943,-80.05
1944,-80
1945,-86.44166667
1946,-83.63333333
1947,-76.10833333
1948,-72.94166667
1949,-68.21666667
1950,-69.5
1951,-67.3
1952,-57.83333333
1953,-60.38333333
1954,-55.96666667
1955,-58.93333333
1956,-57.975
1957,-63.11666667
1958,-49.68333333
1959,-48.30833333
1960,-48.01666667
1961,-44.26666667
1962,-38.09166667
1963,-43.31666667
1964,-44.925
1965,-52.825
1966,-41.54166667
1967,-46.96666667
1968,-45.60833333
1969,-44.80833333
1970,-38
1971,-39.94166667
1972,-34.725
1973,-25.59166667
1974,-31.59166667
1975,-19.71666667
1976,-21.275
1977,-22.35
1978,-23.96666667
1979,-17.56666667
1980,-22.53333333
1981,-16.525
1982,-4.075
1983,-1.466666667
1984,-2.391666667
1985,-12.68333333
1986,-12.05833333
1987,-11.45833333
1988,-6.758333333
1989,-2.316666667
1990,0.008333333
1991,2.508333333
1992,3.166666667
1993,1.416666667
1994,6.575
1995,9.525
1996,13.66666667
1997,20.55833333
1998,10.66666667
1999,19.225
2000,20.48333333
2001,25.98333333
2002,28.35833333
2003,37.60833333
2004,37.41818182
2005,37.29166667
2006,41.56666667
2007,43.48333333
2008,52.2
2009,58.01666667
2010,65.75
2011,67.3
2012,76.08333333
2013,67.73333333